id,user_id,nomination_id,points
303,162,581,1
304,195,637,1
305,152,676,1
306,112,704,1
307,13,737,1
308,247,765,1
309,15,823,1
310,251,863,1
311,166,910,1
312,137,957,1
313,5,136,0
314,11,153,0
315,35,170,0
316,35,166,0
317,6,190,0
318,6,193,0
319,6,194,0
320,36,204,0
321,36,203,0
322,36,202,0
323,12,233,0
324,12,227,0
325,12,226,0
326,220,268,1
327,74,290,1
328,74,283,1
329,74,299,1
330,12,306,1
331,12,343,1
332,12,335,1
333,84,346,1
334,91,400,1
335,91,397,1
336,15,440,1
337,15,446,1
338,15,437,1
339,20,449,1
340,20,470,1
341,139,496,1
342,139,478,1
343,201,524,1
344,12,539,1
345,12,552,1
346,12,544,1
347,94,581,1
348,133,637,1
349,176,676,1
350,42,704,1
351,140,737,1
352,140,753,1
353,191,765,1
354,191,781,1
355,162,823,1
356,162,841,1
357,162,838,1
358,158,862,1
359,158,873,1
360,158,863,1
361,141,910,1
362,141,926,1
363,151,957,1
364,6,136,0
365,6,133,0
366,5,149,0
367,94,170,0
368,23,190,0
369,23,193,0
370,23,194,0
371,15,202,0
372,20,227,0
373,53,268,1
374,52,290,1
375,52,283,1
376,20,306,1
377,20,343,1
378,20,335,1
379,95,346,1
380,92,400,1
381,92,397,1
382,11,440,1
383,11,446,1
384,11,437,1
385,15,470,1
386,218,496,1
387,218,478,1
388,218,499,1
389,118,524,1
390,20,539,1
391,20,552,1
392,36,570,1
393,253,637,1
394,12,676,1
395,12,680,1
396,99,710,1
397,141,737,1
398,141,753,1
399,229,765,1
400,229,781,1
401,94,823,1
402,12,862,1
403,12,873,1
404,12,863,1
405,226,910,1
406,274,957,1
407,274,955,1
408,236,136,0
409,236,133,0
410,2,154,0
411,20,170,0
412,20,166,0
413,36,190,0
414,23,203,0
415,15,233,0
416,13,268,1
417,215,290,1
418,11,306,1
419,11,343,1
420,11,335,1
421,12,346,1
422,12,381,1
423,12,359,1
424,173,397,1
425,6,440,1
426,6,446,1
427,11,454,1
428,11,449,1
429,11,470,1
430,170,496,1
431,115,524,1
432,11,539,1
433,11,552,1
434,11,544,1
435,37,570,1
436,234,637,1
437,20,680,1
438,20,648,1
439,52,704,1
440,135,737,1
441,135,753,1
442,248,765,1
443,248,781,1
444,59,823,1
445,59,841,1
446,59,838,1
447,20,873,1
448,20,863,1
449,267,910,1
450,267,939,1
451,46,957,1
452,10,136,0
453,10,133,0
454,3,153,0
455,2,170,0
456,2,173,0
457,34,203,0
458,2,233,0
459,67,254,1
460,263,283,1
461,2,306,1
462,2,343,1
463,20,346,1
464,167,400,1
465,162,440,1
466,162,446,1
467,162,437,1
468,6,454,1
469,101,496,1
470,101,499,1
471,12,508,1
472,12,524,1
473,12,517,1
474,15,539,1
475,15,552,1
476,15,544,1
477,23,581,1
478,12,602,1
479,12,637,1
480,12,607,1
481,11,680,1
482,137,704,1
483,137,710,1
484,182,737,1
485,182,753,1
486,182,763,1
487,46,765,1
488,37,838,1
489,11,863,1
490,272,910,1
491,139,957,1
492,212,133,0
493,10,170,0
494,11,190,0
495,11,193,0
496,11,194,0
497,28,203,0
498,28,202,0
499,11,233,0
500,11,227,0
501,11,226,0
502,244,268,1
503,78,299,1
504,15,343,1
505,11,346,1
506,11,381,1
507,11,359,1
508,241,400,1
509,27,440,1
510,162,454,1
511,162,449,1
512,162,470,1
513,119,496,1
514,119,478,1
515,20,517,1
516,6,539,1
517,6,552,1
518,6,544,1
519,120,581,1
520,20,637,1
521,15,676,1
522,15,680,1
523,15,648,1
524,175,704,1
525,175,710,1
526,174,737,1
527,174,753,1
528,257,765,1
529,257,781,1
530,120,823,1
531,162,862,1
532,162,873,1
533,162,863,1
534,275,910,1
535,275,939,1
536,275,926,1
537,127,977,1
538,127,957,1
539,127,955,1
540,3,136,0
541,34,170,0
542,2,190,0
543,12,204,0
544,12,203,0
545,12,202,0
546,162,233,0
547,162,226,0
548,80,268,1
549,80,246,1
550,250,290,1
551,6,306,1
552,6,343,1
553,2,346,1
554,2,359,1
555,227,418,1
556,94,440,1
557,94,437,1
558,27,454,1
559,208,478,1
560,208,499,1
561,11,508,1
562,11,524,1
563,11,517,1
564,162,539,1
565,162,544,1
566,48,581,1
567,11,602,1
568,11,637,1
569,11,607,1
570,6,676,1
571,6,680,1
572,144,704,1
573,144,710,1
574,190,737,1
575,240,765,1
576,48,823,1
577,15,862,1
578,15,873,1
579,15,863,1
580,246,910,1
581,246,939,1
582,246,926,1
583,6,957,1
584,212,170,0
585,26,190,0
586,26,193,0
587,26,194,0
588,2,203,0
589,2,202,0
590,6,227,0
591,58,268,1
592,58,254,1
593,69,290,1
594,69,283,1
595,69,299,1
596,27,306,1
597,27,335,1
598,15,346,1
599,105,397,1
600,34,440,1
601,94,449,1
602,94,470,1
603,111,496,1
604,111,499,1
605,15,524,1
606,15,517,1
607,94,539,1
608,59,570,1
609,59,587,1
610,59,581,1
611,15,602,1
612,15,637,1
613,162,676,1
614,162,680,1
615,162,648,1
616,230,704,1
617,149,737,1
618,149,753,1
619,258,765,1
620,86,823,1
621,6,873,1
622,6,863,1
623,270,910,1
624,125,957,1
625,26,166,0
626,28,190,0
627,28,194,0
628,40,203,0
629,27,227,0
630,64,268,1
631,62,290,1
632,162,343,1
633,6,346,1
634,6,359,1
635,223,397,1
636,10,440,1
637,34,449,1
638,109,499,1
639,6,508,1
640,6,524,1
641,23,539,1
642,32,570,1
643,32,587,1
644,32,581,1
645,6,602,1
646,6,637,1
647,6,607,1
648,94,676,1
649,132,704,1
650,132,710,1
651,132,689,1
652,184,737,1
653,184,753,1
654,146,781,1
655,32,823,1
656,32,841,1
657,32,838,1
658,94,863,1
659,160,910,1
660,140,977,1
661,140,957,1
662,140,955,1
663,27,166,0
664,27,173,0
665,94,190,0
666,81,203,0
667,81,202,0
668,35,233,0
669,35,227,0
670,35,226,0
671,66,254,1
672,68,290,1
673,34,343,1
674,162,346,1
675,162,381,1
676,162,359,1
677,168,400,1
678,168,397,1
679,168,418,1
680,23,440,1
681,23,446,1
682,23,437,1
683,10,470,1
684,104,496,1
685,104,478,1
686,104,499,1
687,162,524,1
688,162,517,1
689,181,539,1
690,50,581,1
691,162,637,1
692,37,648,1
693,131,704,1
694,131,710,1
695,131,689,1
696,136,737,1
697,136,753,1
698,12,765,1
699,12,781,1
700,50,823,1
701,59,862,1
702,59,873,1
703,59,863,1
704,276,910,1
705,160,977,1
706,160,957,1
707,28,170,0
708,37,190,0
709,245,203,0
710,28,227,0
