id,screenscraper_id,img,year,system,developer,genre,time_to_beat,title_usa,title_eu,title_jap,title_world,title_other
581,22797,https://screenscraper.fr/image.php?gameid=22797&media=ss&maxwidth=640&maxheight=480&region=wor,2003,PS2,Racjin,ARPG,12,Fullmetal Alchemist and the Broken Angel,,Hagane no Renkinjutsushi: Tobenai Tenshi,,
582,13611,https://screenscraper.fr/image.php?gameid=13611&media=ss&maxwidth=640&maxheight=480&region=wor,1999,"PS1, DC",Red Storm Entertainment,Tactical Shooter,13,Tom Clancy's Rainbow Six: Rogue Spear,,,,
583,22471,https://screenscraper.fr/image.php?gameid=22471&media=ss&maxwidth=640&maxheight=480&region=wor,2004,PS2,"Sega Wow, Red Entertainment",Action-Adventure,15,Blood Will Tell,Blood Will Tell: Tezuka Osamu's Dororo,Dororo,,
584,22144,https://screenscraper.fr/image.php?gameid=22144&media=ss&maxwidth=640&maxheight=480&region=wor,2003,"PS2, PS4",Bandai,ARPG,17,.hack//Infection,,Dot Hack Kansen Kakudai Vol. 1,,
585,5943,https://screenscraper.fr/image.php?gameid=5943&media=ss&maxwidth=640&maxheight=480&region=wor,2006,Nintendo DS,Ganbarion,Fighting,17,,,Jump Ultimate Stars,,
586,1287,https://screenscraper.fr/image.php?gameid=1287&media=ss&maxwidth=640&maxheight=480&region=wor,1989,NES,Sunsoft,Action-Platformer,2,Batman: The Video Game,,Batman,,
587,1263,https://screenscraper.fr/image.php?gameid=1263&media=ss&maxwidth=640&maxheight=480&region=wor,1989,NES,Capcom,Platformer,2,Disney's Ducktales,,Wanpaku Duck Yume Bouken,,
588,2256,https://screenscraper.fr/image.php?gameid=2256&media=ss&maxwidth=640&maxheight=480&region=wor,1991,"SNES, Arcade",Capcom,Shoot 'em Up,2,U.N. Squadron,,Area 88,,
589,2250,https://screenscraper.fr/image.php?gameid=2250&media=ss&maxwidth=640&maxheight=480&region=wor,1993,SNES,Konami,Platformer,2,Tiny Toon Adventures: Buster Busts Loose,,Tiny Toon Adventures,,
590,8,https://screenscraper.fr/image.php?gameid=8&media=ss&maxwidth=640&maxheight=480&region=wor,1993,Genesis/MD,Virgin Games USA,Platformer,2,,,,Aladdin,
591,9,https://screenscraper.fr/image.php?gameid=9&media=ss&maxwidth=640&maxheight=480&region=wor,1994,"SNES, Genesis/MD",Westwood Studios,Platformer,2,The Lion King,,,,
592,19378,https://screenscraper.fr/image.php?gameid=19378&media=ss&maxwidth=640&maxheight=480&region=wor,1998,PS1,n-Space,Platformer,2,Rugrats: The Search for Reptar,,,,
593,4143,https://screenscraper.fr/image.php?gameid=4143&media=ss&maxwidth=640&maxheight=480&region=wor,2002,GBA,Lucky Chicken Software,Shoot 'em Up,2,Robotech: The Macross Saga,,,,
594,5815,https://screenscraper.fr/image.php?gameid=5815&media=ss&maxwidth=640&maxheight=480&region=wor,2009,Nintendo DS,Monolith Soft,RPG,24,Dragon Ball Z: Attack of the Saiyans,,Dragon Ball Kai - Saiyajin Raishuu,,
595,24579,https://screenscraper.fr/image.php?gameid=24579&media=ss&maxwidth=640&maxheight=480&region=wor,2008,"PSP, PS2, Wii",Capcom,Visual Novel,3,Harvey Birdman: Attorney at Law,,,,
596,419094,https://screenscraper.fr/image.php?gameid=419094&media=ss&maxwidth=640&maxheight=480&region=wor,2022,"Android, Switch",Tribute Games,Beat 'em Up,3,Teenage Mutant Ninja Turtles: Shredder's Revenge,,,,
597,1522,https://screenscraper.fr/image.php?gameid=1522&media=ss&maxwidth=640&maxheight=480&region=wor,1991,"NES, GB, SNES",Beam Software,Side Scroller,4,The Hunt for the Red October,,,,
598,2193,https://screenscraper.fr/image.php?gameid=2193&media=ss&maxwidth=640&maxheight=480&region=wor,1993,SNES,Ocean,Action-Adventure,4,,,,Jurassic Park,
599,3784,https://screenscraper.fr/image.php?gameid=3784&media=ss&maxwidth=640&maxheight=480&region=wor,2004,GBA,Dimps,Beat 'em Up,4,,,,Dragon Ball: Advanced Adventure,
600,13720,https://screenscraper.fr/image.php?gameid=13720&media=ss&maxwidth=640&maxheight=480&region=wor,1999,DC,Bandai,Action,5,Gundam Side Story 0079: Rise from the Ashes,,Kidou Senshi Gundam Gaiden Colony no Ochita Chide...,,
601,19078,https://screenscraper.fr/image.php?gameid=19078&media=ss&maxwidth=640&maxheight=480&region=wor,1994,SNES,Imagineering,Platformer,6,Home Improvement: Power Tool Pursuit,,,,
602,37087,https://screenscraper.fr/image.php?gameid=37087&media=ss&maxwidth=640&maxheight=480&region=wor,2001,GBC,Griptonite Games,RPG,6,,,,Harry Potter and the Sorcerer's Stone,
603,22751,https://screenscraper.fr/image.php?gameid=22751&media=ss&maxwidth=640&maxheight=480&region=wor,2005,PS2,Eurocom,Platformer,7,Robots,,,,
604,5397,https://screenscraper.fr/image.php?gameid=5397&media=ss&maxwidth=640&maxheight=480&region=wor,1997,N64,Rare,FPS,9,,,,Goldeneye 007,
605,4775,https://screenscraper.fr/image.php?gameid=4775&media=ss&maxwidth=640&maxheight=480&region=wor,2003,"GC, PS2, Xbox",EA Redwood Shores,Hack and Slash,9,The Lord of the Rings: Return of the King,,The Lord of the Rings: Ou no Kikan,,
606,69169,https://screenscraper.fr/image.php?gameid=69169&media=ss&maxwidth=640&maxheight=480&region=wor,1997,GBC,Bit Managers,Action-Puzzle,,,Die Maus,,,
607,20691,https://screenscraper.fr/image.php?gameid=20691&media=ss&maxwidth=640&maxheight=480&region=jp,1999,PS1,E-Game,Racing RPG,,,,Choro Q Wonderful!,,
608,165,https://screenscraper.fr/image.php?gameid=165&media=ss&maxwidth=640&maxheight=480&region=wor,1992,Genesis/MD,Core Design,Platformer,1,Chuck Rock,,,,
609,2183,https://screenscraper.fr/image.php?gameid=2183&media=ss&maxwidth=640&maxheight=480&region=wor,1992,"SNES, Arcade",Konami,Beat 'em Up,1,,,,Teenage Mutant Ninja Turtles: Turtles in Time,
610,19338,https://screenscraper.fr/image.php?gameid=19338&media=ss&maxwidth=640&maxheight=480&region=wor,1996,"PS1, GBA, PC",Virgin Interactive,Point 'n Click,10,Broken Sword: Shadow of the Templars,,,,
611,28119,https://screenscraper.fr/image.php?gameid=28119&media=ss&maxwidth=640&maxheight=480&region=wor,2010,PSP,GOSHOW,Fighting,10,Gladiator Begins,,,,
612,3017,https://screenscraper.fr/image.php?gameid=3017&media=ss&maxwidth=640&maxheight=480&region=wor,1990,GB,Squaresoft,RPG,11,The Final Fantasy Legend,,Makai Toushi Sa-Ga,,
613,19328,https://screenscraper.fr/image.php?gameid=19328&media=ss&maxwidth=640&maxheight=480&region=wor,1999,PS1,989 Studios,Third Person Shooter,12,,,,Syphon Filter,
614,19704,https://screenscraper.fr/image.php?gameid=19704&media=ss&maxwidth=640&maxheight=480&region=wor,1999,PS1,Squaresoft,ARPG,14,Threads of Fate,,DewPrism,,
615,5823,https://screenscraper.fr/image.php?gameid=5823&media=ss&maxwidth=640&maxheight=480&region=wor,2012,DS,Tecmo Koei,TRPG,14,,,,Pokémon Conquest,
616,19811,https://screenscraper.fr/image.php?gameid=19811&media=ss&maxwidth=640&maxheight=480&region=wor,1998,PS1,Human Entertainment,TRPG,17,Vanguard Bandits,,Epica Stella,,
617,21890,https://screenscraper.fr/image.php?gameid=21890&media=ss&maxwidth=640&maxheight=480&region=wor,2002,PS2,Rockstar North,Action-Adventure,18,,,,Grand Theft Auto: Vice City,
618,53514,https://screenscraper.fr/image.php?gameid=53514&media=ss&maxwidth=640&maxheight=480&region=wor,1989,Apple II,Broderbund,Cinematic Platformer,2,,,,Prince of Persia,
619,33479,https://screenscraper.fr/image.php?gameid=33479&media=ss&maxwidth=640&maxheight=480&region=wor,1989,"DOS, PC",Cinemaware,Action-Adventure,2,,,,It Came from the Desert,
620,2185,https://screenscraper.fr/image.php?gameid=2185&media=ss&maxwidth=640&maxheight=480&region=wor,1992,SNES,LucasArts,Action-Platformer,2,,,,Super Star Wars,
621,13094,https://screenscraper.fr/image.php?gameid=13094&media=ss&maxwidth=640&maxheight=480&region=wor,1996,Saturn,Treasure,Beat 'em Up,2,,,,Guardian Heroes,
622,19537,https://screenscraper.fr/image.php?gameid=19537&media=ss&maxwidth=640&maxheight=480&region=eu,1999,PS1,Namco,Racing,2,R4: Ridge Racer Type 4,Ridge Racer Type 4,,,
623,3757,https://screenscraper.fr/image.php?gameid=3757&media=ss&maxwidth=640&maxheight=480&region=wor,2003,GBA,Intelligent Systems,TRPG,27,Fire Emblem,,Fire Emblem: Rekka no Ken,,Fire Emblem: The Blazing Blade
624,28354,https://screenscraper.fr/image.php?gameid=28354&media=ss&maxwidth=640&maxheight=480&region=wor,2005,PSP,Agetec,RPG,27,,,,PoPoLoCrois,
625,27,https://screenscraper.fr/image.php?gameid=27&media=ss&maxwidth=640&maxheight=480&region=wor,1991,Genesis/MD,Sega,Platformer,3,QuackShot Starring Donald Duck,,"QuackShot: I Love Donald Duck, Guruzia Ou no Hihou",,
626,2591,https://screenscraper.fr/image.php?gameid=2591&media=ss&maxwidth=640&maxheight=480&region=wor,1994,SNES,Taito,Action-Platformer,3,,,,The Flintstones: The Treasure of Sierra Madrock,
627,19310,https://screenscraper.fr/image.php?gameid=19310&media=ss&maxwidth=640&maxheight=480&region=wor,1997,PS1,Virgin Interactive,Action,3,Disney's Hercules Action Game,,,,
628,13086,https://screenscraper.fr/image.php?gameid=13086&media=ss&maxwidth=640&maxheight=480&region=wor,1998,Saturn,Camelot Software,TRPG,35,,,,Shining Force 3,
629,98152,https://screenscraper.fr/image.php?gameid=98152&media=ss&maxwidth=640&maxheight=480&region=wor,1987,MSX,Konami,Action-Adventure,4,,,,Metal Gear,
