id,discord_name_original,display_name,discord_name,discord_id,premium
226,kenedy#6925,kenedy,.kenedy,163471256325324800,
227,KnuKLz#0210,KnuKLz,knuklz,270272493028114443,
228,krvkz#5134,krvkz,horkrvkz,220326282565648384,
229,Ladut#4608,Ladut,ladut,173997692718940162,
230,LBRapid#6490,LBRapid,lbrapid,84111195727986688,
231,lopsided bunny#1398,lopsided bunny,,676864024067178497,
232,losd#7920,losd,losd,348933808843784192,
233,MaxPower78#2468,Max Power,maxpower78,520065985319927808,
234,mrCunningham#8438,mrCunningham,mrcunningham,225625654379544576,
235,,,,,
236,N0sSyndrome#4052,N0sSyndrom,n0ssyndrome,83156943962636288,
237,,,,,
238,Nintencats#0491,,,,
239,notlikethesoup#0606,notlikethesoup,notlikethesoup,123225499337097216,
240,oimaya#5824,oimaya,,896203452273799250,
241,PeterPan#9771,PeterPan,,708547110626132032,
242,,,,,
243,PleaseSandwich#3304,PleaseSandwich,pleasesandwich,875082079510077520,
244,pzonee#3534,pzonee,pzonee,173190629411520512,
245,Rei#1647,Rei,kaorurei,95522912613707776,
246,Residual Heat#7116,Residual Heat,residualheat,455805967729426434,
247,Sanelessone#3318,Sanelessone,sanelessone,751984526195949689,
248,Seraphgrim#1600,Seraphgrim,seraphgrim,415572761075908608,
249,Shedimus#1986,Shedimus,shedimus,464673288145338368,
250,sizzleweet#4931,sizzleweet,sizzleweet,229678687614664705,
251,sorcererer#6783,sorcererer,sorcererer,247787532526288908,
252,sqpete#4413,sqpete,sqpete,138200360937455616,
253,SteezeTrain#1337,SteezeTrain,steezetrain,190322934399762442,
254,T1DSoldier#2179,T1DSoldier,t1dsoldier,625135131769831444,
255,talkstoaliens#7971,talkstoaliens,talkstoaliens,835114052215767050,
256,thefakejoshua#0130,thefakejoshua,,627481667984162817,
257,TheRetroTechDad#0938,Retro Tech Dad,theretrotechdad,349040433869094914,legend
258,tigno#3123,tigno,3tigno,332016854229057536,
259,tony#5959,tony,greenshrt,227923126044983297,
260,townimbecile#6173,,,616031116389777421,
261,wesaj#4923,wesaj,wesaj,843571467534860379,
262,wonkysharks#5296,Dan Shark,danwis,170296289798389760,supporter
263,Wriv#8562,Wriv,.wriv.,404104326055854091,
264,Zach944#1520,Zach944,zach944,302881600310345730,
